yyyyjjj, 91F8, 92B7, 9338, 9406, 98E6, 9BC5, 9D7C, AB13,
2018218,    0,    0,    0,    0,    0,    0,    0,    0,
2018219,    0,    0,    0,    0,    0,    0,    0,    0,
2018220,    0,    0,    0,    0,    0,    0,    0,    0,
2018221,    1,    0,    0,    0,    0,    0,    0,    0,
2018222,    1,    1,    0,    0,    0,    0,    0,    0,
2018223,    0,    1,    0,    0,    0,    0,    0,    0,
2018224,    0,    1,    0,    0,    0,    0,    0,    0,
2018225,    0,    1,    0,    0,    0,    0,    0,    0,
2018226,    0,    1,    0,    0,    0,    0,    0,    0,
2018227,    0,    1,    0,    0,    0,    0,    0,    0,
2018228,    0,    1,    0,    0,    0,    0,    0,    0,
2018229,    0,    1,    0,    0,    0,    0,    0,    0,
2018230,    0,    1,    0,    0,    0,    0,    0,    0,
2018231,    0,    1,    0,    0,    0,    0,    0,    0,
2018232,    0,    1,    0,    0,    0,    0,    0,    0,
2018233,    0,    1,    0,    0,    0,    0,    0,    0,
2018234,    0,    1,    0,    0,    0,    0,    0,    0,
2018235,    0,    1,    0,    0,    0,    0,    0,    0,
2018236,    0,    0,    0,    0,    0,    0,    0,    0,
2018237,    0,    0,    0,    0,    0,    0,    0,    0,
2018238,    0,    0,    0,    0,    0,    0,    0,    0,
2018239,    0,    0,    0,    0,    0,    0,    0,    0,
2018240,    0,    0,    0,    0,    0,    0,    0,    0,
2018241,    0,    0,    0,    0,    0,    0,    0,    0,
2018242,    0,    0,    0,    0,    0,    0,    0,    0,
2018243,    0,    0,    0,    0,    0,    0,    0,    0,
2018244,    0,    0,    0,    0,    0,    0,    0,    0,
2018245,    0,    0,    0,    0,    0,    0,    0,    0,
2018246,    0,    0,    0,    0,    0,    0,    0,    0,
2018247,    0,    0,    0,    0,    0,    0,    0,    0,
2018248,    0,    0,    0,    0,    0,    0,    0,    0,
2018249,    0,    0,    0,    0,    0,    0,    0,    0,
2018250,    0,    0,    0,    0,    0,    0,    0,    0,
2018251,    0,    0,    0,    0,    0,    0,    0,    0,
2018252,    0,    0,    0,    0,    0,    0,    0,    0,
2018253,    0,    0,    0,    0,    0,    0,    0,    0,
2018254,    0,    0,    0,    0,    0,    0,    0,    0,
2018255,    0,    0,    0,    0,    0,    0,    0,    0,
2018256,    0,    0,    0,    0,    0,    0,    0,    0,
2018257,    0,    0,    0,    0,    0,    0,    0,    0,
2018258,    0,    0,    0,    0,    0,    0,    0,    0,
2018259,    0,    0,    0,    0,    0,    0,    0,    0,
2018260,    0,    0,    0,    0,    0,    0,    0,    0,
2018261,    0,    0,    0,    0,    0,    0,    0,    0,
2018262,    1,    0,    0,    0,    0,    0,    0,    0,
2018263,    1,    0,    0,    0,    0,    0,    0,    0,
2018264,    1,    0,    0,    0,    0,    0,    0,    0,
2018265,    1,    0,    0,    0,    0,    0,    0,    0,
2018266,    1,    0,    0,    0,    0,    0,    0,    0,
2018267,    1,    0,    0,    0,    0,    0,    0,    0,
2018268,    1,    0,    0,    0,    0,    0,    0,    0,
2018269,    1,    0,    0,    0,    0,    0,    0,    0,
2018270,    1,    0,    0,    0,    0,    0,    0,    0,
2018271,    1,    0,    0,    0,    0,    0,    0,    0,
2018272,    1,    0,    0,    0,    0,    0,    0,    0,
2018273,    0,    0,    0,    0,    0,    0,    0,    0,
2018274,    0,    0,    0,    0,    0,    0,    0,    0,
2018275,    0,    0,    0,    0,    0,    0,    0,    0,
2018276,    0,    0,    0,    0,    0,    0,    0,    0,
2018277,    0,    0,    0,    0,    0,    0,    0,    0,
2018278,    0,    0,    0,    0,    0,    0,    0,    0,
2018279,    0,    0,    0,    0,    0,    0,    0,    0,
2018280,    0,    0,    0,    0,    0,    0,    0,    0,
2018281,    0,    0,    0,    0,    0,    0,    0,    0,
2018282,    0,    0,    0,    0,    0,    0,    0,    0,
2018283,    0,    0,    0,    0,    0,    0,    0,    0,
2018284,    0,    0,    0,    0,    0,    0,    0,    0,
2018285,    0,    0,    0,    0,    0,    0,    0,    0,
2018286,    0,    0,    0,    0,    0,    0,    0,    0,
2018287,    0,    0,    0,    0,    0,    0,    0,    0,
2018288,    1,    0,    0,    0,    0,    0,    0,    0,
2018289,    1,    0,    1,    1,    1,    1,    1,    1,
2018290,    1,    0,    1,    1,    1,    1,    1,    1,
2018291,    1,    0,    0,    0,    0,    0,    0,    0,
2018292,    1,    0,    0,    0,    0,    0,    0,    0,
2018293,    1,    0,    0,    0,    0,    0,    0,    0,
2018294,    1,    0,    0,    0,    0,    0,    0,    0,
2018295,    1,    0,    0,    0,    0,    0,    0,    0,
2018296,    1,    0,    0,    0,    0,    0,    0,    0,
2018297,    1,    0,    0,    0,    0,    0,    0,    0,
2018298,    1,    0,    0,    0,    0,    0,    0,    0,
2018299,    1,    0,    0,    0,    0,    0,    0,    0,
2018300,    1,    0,    0,    0,    0,    0,    0,    0,
2018301,    1,    0,    0,    0,    0,    0,    0,    0,
2018302,    1,    0,    0,    0,    0,    0,    0,    0,
2018303,    1,    0,    0,    0,    0,    0,    0,    0,
2018304,    1,    0,    0,    0,    0,    0,    0,    0,
2018305,    1,    0,    0,    0,    0,    0,    0,    0,
2018306,    1,    0,    0,    0,    0,    0,    0,    0,
2018307,    1,    0,    0,    0,    0,    0,    0,    0,
2018308,    1,    0,    0,    0,    0,    0,    0,    0,
2018309,    1,    0,    0,    0,    0,    0,    0,    0,
2018310,    1,    0,    0,    0,    0,    0,    0,    0,
2018311,    1,    0,    0,    0,    0,    0,    0,    0,
2018312,    1,    0,    0,    0,    0,    0,    0,    0,
2018313,    1,    0,    0,    0,    0,    0,    0,    0,
2018314,    1,    0,    0,    0,    0,    0,    0,    0,
2018315,    1,    0,    0,    0,    0,    0,    0,    0,
2018316,    1,    0,    0,    0,    0,    0,    0,    0,
2018317,    1,    0,    0,    0,    0,    0,    0,    0,
2018318,    1,    0,    0,    0,    0,    0,    0,    0,
2018319,    1,    0,    0,    0,    0,    0,    0,    0,
2018320,    1,    0,    0,    0,    0,    0,    0,    0,
2018321,    1,    0,    0,    0,    0,    0,    0,    0,
2018322,    1,    0,    0,    0,    0,    0,    0,    0,
2018323,    1,    0,    0,    0,    0,    0,    0,    0,
2018324,    1,    0,    0,    0,    0,    0,    0,    0,
2018325,    1,    0,    0,    0,    0,    0,    0,    0,
2018326,    1,    0,    0,    0,    0,    0,    0,    0,
2018327,    1,    0,    0,    0,    0,    0,    0,    0,
2018328,    1,    0,    0,    0,    0,    0,    0,    0,
2018329,    1,    0,    0,    0,    0,    0,    0,    0,
2018330,    1,    0,    0,    0,    0,    0,    0,    0,
2018331,    1,    0,    0,    0,    0,    0,    0,    0,
2018332,    1,    0,    0,    0,    0,    0,    0,    0,
2018333,    1,    0,    0,    0,    0,    0,    0,    0,
2018334,    1,    0,    0,    0,    0,    0,    0,    0,
2018335,    1,    0,    0,    0,    0,    0,    0,    0,
2018336,    1,    0,    0,    0,    0,    0,    0,    0,
2018337,    1,    0,    0,    0,    0,    0,    0,    0,
2018338,    1,    1,    1,    1,    0,    0,    1,    1,
2018339,    1,    1,    1,    0,    0,    0,    1,    1,
2018340,    1,    1,    1,    0,    0,    0,    1,    1,
2018341,    1,    1,    1,    0,    0,    0,    1,    1,
2018342,    1,    1,    1,    0,    0,    0,    1,    1,
2018343,    1,    1,    1,    0,    0,    0,    1,    1,
2018344,    1,    1,    1,    0,    0,    0,    1,    1,
2018345,    1,    1,    1,    0,    0,    0,    1,    1,
2018346,    1,    1,    1,    0,    0,    0,    1,    1,
2018347,    1,    1,    1,    0,    0,    0,    1,    0,
2018348,    1,    1,    1,    0,    0,    0,    1,    0,
2018349,    1,    1,    1,    0,    0,    0,    1,    0,
2018350,    1,    1,    1,    0,    0,    0,    1,    0,
2018351,    1,    1,    1,    0,    0,    0,    1,    0,
2018352,    1,    1,    1,    0,    0,    0,    1,    0,
2018353,    1,    1,    1,    0,    0,    0,    1,    0,
2018354,    1,    1,    1,    0,    0,    0,    1,    0,
2018355,    1,    1,    1,    0,    0,    0,    1,    0,
2018356,    1,    1,    1,    0,    0,    0,    1,    0,
2018357,    1,    1,    1,    0,    0,    0,    1,    0,
2018358,    1,    1,    1,    0,    0,    0,    1,    0,
2018359,    1,    1,    1,    0,    0,    0,    1,    0,
2018360,    1,    1,    1,    0,    0,    0,    1,    0,
2018361,    1,    1,    1,    0,    0,    0,    1,    0,
2018362,    1,    1,    1,    0,    0,    0,    1,    0,
2018363,    1,    1,    1,    0,    0,    0,    1,    0,
2018364,    1,    1,    1,    0,    0,    0,    1,    0,
2018365,    1,    1,    1,    0,    0,    0,    1,    0,
2019001,    1,    1,    1,    0,    0,    0,    1,    0,
2019002,    1,    1,    1,    0,    0,    0,    1,    0,
2019003,    1,    1,    1,    0,    0,    0,    1,    0,
2019004,    1,    1,    1,    0,    0,    0,    1,    0,
2019005,    1,    1,    1,    0,    0,    0,    1,    0,
2019006,    1,    1,    1,    0,    0,    0,    1,    0,
2019007,    1,    1,    1,    0,    0,    0,    1,    0,
2019008,    1,    1,    1,    0,    0,    0,    1,    0,
2019009,    1,    1,    1,    0,    0,    0,    1,    0,
2019010,    1,    1,    1,    0,    0,    0,    1,    0,
2019011,    1,    1,    1,    0,    0,    0,    1,    0,
2019012,    1,    1,    1,    0,    0,    0,    1,    0,
2019013,    1,    1,    1,    0,    0,    0,    1,    0,
2019014,    1,    1,    1,    0,    0,    0,    1,    0,
2019015,    1,    1,    1,    0,    0,    0,    1,    0,
2019016,    1,    1,    1,    0,    0,    0,    1,    0,
2019017,    1,    1,    1,    0,    0,    0,    1,    0,
2019018,    1,    1,    1,    0,    0,    0,    1,    0,
2019019,    1,    1,    1,    0,    0,    0,    1,    0,
2019020,    1,    1,    1,    0,    0,    0,    1,    0,
2019021,    1,    1,    1,    0,    0,    0,    1,    0,
2019022,    1,    1,    1,    0,    0,    0,    1,    0,
2019023,    1,    1,    1,    0,    0,    0,    1,    0,
2019024,    1,    1,    1,    0,    0,    0,    1,    0,
2019025,    1,    1,    1,    0,    0,    0,    1,    0,
2019026,    1,    1,    1,    0,    0,    0,    1,    0,
2019027,    1,    1,    1,    0,    0,    0,    1,    0,
2019028,    1,    1,    1,    0,    0,    0,    1,    0,
2019029,    1,    1,    1,    0,    0,    0,    1,    0,
2019030,    1,    1,    1,    0,    0,    0,    1,    0,
2019031,    1,    1,    1,    0,    0,    0,    1,    0,
2019032,    1,    1,    1,    0,    0,    0,    1,    0,
2019033,    1,    1,    1,    0,    0,    0,    1,    0,
2019034,    1,    1,    1,    0,    0,    0,    1,    0,
2019035,    1,    1,    1,    0,    0,    0,    1,    0,
2019036,    1,    1,    1,    0,    0,    0,    0,    0,
2019037,    1,    1,    1,    0,    0,    0,    0,    0,
2019038,    1,    1,    1,    0,    0,    0,    0,    0,
2019039,    1,    1,    1,    0,    0,    1,    0,    0,
2019040,    1,    1,    1,    0,    0,    1,    0,    0,
2019041,    1,    1,    1,    0,    0,    1,    0,    0,
2019042,    1,    1,    1,    0,    0,    1,    0,    0,
2019043,    1,    1,    1,    0,    0,    1,    0,    0,
2019044,    1,    1,    1,    0,    0,    0,    1,    1,
2019045,    1,    1,    1,    0,    0,    0,    1,    1,
2019046,    1,    1,    1,    0,    0,    0,    1,    1,
2019047,    1,    1,    1,    0,    0,    0,    1,    1,
2019048,    1,    1,    1,    0,    0,    0,    1,    1,
2019049,    1,    1,    1,    0,    0,    0,    1,    1,
2019050,    1,    1,    1,    0,    0,    0,    1,    1,
2019051,    1,    1,    1,    0,    0,    0,    1,    1,
2019052,    1,    1,    1,    0,    0,    0,    1,    1,
2019053,    1,    1,    1,    0,    0,    0,    1,    1,
2019054,    1,    1,    1,    0,    0,    0,    1,    1,
2019055,    1,    1,    1,    0,    0,    0,    1,    1,
2019056,    1,    1,    1,    0,    0,    0,    1,    1,
2019057,    1,    1,    1,    0,    0,    0,    1,    1,
2019058,    1,    1,    1,    0,    0,    0,    1,    1,
2019059,    1,    1,    1,    0,    0,    0,    1,    1,
2019060,    1,    1,    1,    0,    0,    0,    1,    1,
2019061,    1,    1,    1,    0,    0,    0,    1,    1,
2019062,    1,    1,    1,    0,    0,    0,    1,    1,
2019063,    1,    1,    1,    0,    0,    0,    1,    1,
2019064,    1,    1,    1,    0,    0,    0,    1,    1,
2019065,    1,    1,    1,    0,    0,    0,    1,    1,
2019066,    1,    1,    1,    0,    0,    0,    1,    1,
2019067,    1,    1,    1,    0,    0,    0,    1,    1,
2019068,    1,    1,    1,    0,    0,    0,    1,    1,
2019069,    1,    1,    1,    0,    0,    0,    1,    1,
2019070,    1,    1,    1,    0,    0,    0,    1,    1,
2019071,    1,    1,    1,    0,    0,    0,    1,    1,
2019072,    1,    1,    1,    0,    0,    0,    1,    1,
2019073,    1,    1,    1,    0,    0,    0,    1,    1,
2019074,    1,    1,    1,    0,    0,    0,    1,    1,
2019075,    1,    1,    1,    0,    0,    0,    1,    1,
2019076,    1,    1,    1,    0,    0,    0,    1,    1,
2019077,    1,    1,    1,    0,    0,    0,    1,    1,
2019078,    1,    1,    1,    0,    0,    0,    1,    1,
2019079,    1,    1,    1,    0,    0,    0,    1,    1,
2019080,    1,    1,    1,    0,    0,    0,    1,    1,
2019081,    1,    1,    1,    0,    0,    0,    1,    1,
2019082,    1,    1,    1,    0,    0,    0,    1,    1,
2019083,    1,    1,    1,    0,    0,    0,    1,    1,
2019084,    1,    1,    1,    0,    0,    0,    1,    1,
2019085,    1,    1,    1,    0,    0,    0,    1,    1,
2019086,    1,    1,    1,    0,    0,    0,    1,    1,
2019087,    1,    1,    1,    0,    0,    0,    1,    1,
2019088,    1,    1,    1,    0,    0,    0,    1,    1,
2019089,    1,    1,    1,    0,    0,    0,    1,    1,
2019090,    1,    1,    1,    0,    0,    0,    1,    1,
2019091,    1,    1,    1,    0,    0,    0,    1,    1,
2019092,    1,    1,    1,    0,    0,    0,    1,    1,
2019093,    1,    1,    1,    0,    0,    0,    1,    1,
2019094,    1,    1,    1,    0,    0,    0,    1,    1,
2019095,    1,    1,    1,    0,    0,    0,    1,    1,
2019096,    1,    1,    1,    0,    0,    0,    1,    1,
2019097,    1,    1,    1,    0,    0,    0,    1,    1,
2019098,    0,    1,    1,    0,    0,    0,    1,    1,
2019099,    0,    1,    1,    0,    0,    0,    1,    1,
2019100,    1,    1,    1,    0,    0,    1,    1,    1,
2019101,    1,    1,    1,    0,    0,    1,    1,    1,
2019102,    1,    1,    1,    0,    0,    1,    1,    1,
2019103,    1,    1,    1,    0,    0,    1,    1,    1,
2019104,    1,    1,    1,    0,    0,    1,    1,    1,
2019105,    1,    1,    1,    0,    0,    1,    1,    1,
2019106,    1,    1,    1,    0,    0,    1,    1,    1,
2019107,    1,    1,    1,    0,    0,    1,    1,    1,
2019108,    1,    1,    1,    0,    0,    1,    1,    1,
2019109,    1,    1,    1,    0,    0,    1,    1,    1,
2019110,    1,    1,    1,    0,    0,    1,    1,    1,
2019111,    1,    1,    1,    0,    0,    1,    1,    1,
2019112,    1,    1,    1,    0,    0,    1,    1,    1,
2019113,    1,    1,    1,    0,    0,    1,    1,    1,
2019114,    1,    1,    1,    0,    0,    1,    1,    1,
2019115,    1,    1,    1,    0,    0,    1,    1,    1,
2019116,    1,    1,    1,    0,    0,    1,    1,    1,
2019117,    1,    1,    1,    0,    0,    1,    1,    1,
2019118,    1,    1,    1,    0,    0,    1,    1,    1,
2019119,    1,    1,    1,    0,    0,    1,    1,    1,
2019120,    1,    1,    1,    0,    0,    1,    1,    1,
2019121,    1,    1,    1,    0,    0,    1,    1,    1,
2019122,    1,    1,    1,    0,    0,    1,    1,    1,
2019123,    1,    1,    1,    0,    0,    1,    1,    1,
2019124,    1,    1,    1,    0,    0,    1,    1,    1,
2019125,    1,    1,    1,    0,    0,    1,    1,    1,
2019126,    1,    1,    1,    0,    0,    1,    1,    1,
2019127,    1,    1,    1,    0,    0,    1,    1,    1,
2019128,    1,    1,    1,    0,    0,    1,    1,    1,
2019129,    1,    1,    1,    0,    0,    1,    1,    1,
2019130,    1,    1,    1,    0,    0,    1,    1,    1,
2019131,    1,    1,    1,    0,    0,    1,    1,    1,
2019132,    1,    1,    1,    0,    0,    1,    1,    1,
2019133,    1,    1,    1,    0,    0,    1,    1,    1,
2019134,    1,    1,    1,    0,    0,    1,    1,    1,
2019135,    1,    1,    1,    0,    0,    1,    1,    0,
2019136,    1,    1,    1,    0,    0,    1,    1,    0,
2019137,    1,    1,    1,    0,    0,    1,    1,    0,
2019138,    1,    1,    1,    0,    0,    1,    1,    0,
2019139,    1,    1,    1,    0,    0,    1,    1,    0,
2019140,    1,    1,    1,    0,    0,    1,    1,    0,
2019141,    1,    1,    1,    0,    0,    1,    1,    0,
2019142,    1,    1,    1,    0,    0,    1,    1,    0,
2019143,    1,    1,    1,    0,    0,    1,    1,    0,
2019144,    1,    1,    1,    0,    0,    1,    1,    0,
2019145,    1,    1,    1,    0,    0,    1,    1,    0,
2019146,    1,    1,    1,    0,    0,    1,    1,    0,
2019147,    1,    1,    1,    0,    0,    1,    1,    0,
2019148,    1,    1,    1,    0,    0,    1,    1,    0,
2019149,    1,    1,    1,    0,    0,    1,    1,    0,
2019150,    1,    1,    1,    0,    0,    1,    1,    0,
2019151,    1,    1,    1,    0,    0,    1,    1,    0,
2019152,    1,    1,    1,    0,    0,    1,    1,    0,
2019153,    1,    1,    1,    0,    0,    1,    1,    0,
2019154,    1,    1,    1,    0,    0,    1,    1,    0,
2019155,    1,    1,    1,    0,    0,    1,    1,    0,
2019156,    1,    1,    1,    0,    0,    1,    1,    0,
2019157,    1,    1,    1,    0,    0,    1,    1,    0,
2019158,    1,    1,    1,    0,    0,    1,    1,    0,
2019159,    1,    1,    1,    0,    0,    1,    1,    0,
2019160,    1,    1,    1,    0,    0,    1,    1,    0,
2019161,    1,    1,    1,    0,    0,    1,    1,    0,
2019162,    1,    1,    1,    0,    0,    1,    1,    0,
2019163,    1,    1,    0,    0,    0,    1,    1,    0,
2019164,    1,    0,    0,    0,    0,    1,    1,    0,
2019165,    1,    0,    0,    0,    0,    1,    1,    0,
2019166,    0,    0,    0,    0,    0,    1,    1,    0,
2019167,    0,    0,    0,    0,    0,    1,    1,    0,
2019168,    0,    0,    0,    0,    0,    1,    1,    0,
2019169,    0,    0,    0,    0,    0,    1,    1,    0,
2019170,    0,    0,    0,    0,    0,    1,    1,    1,
2019171,    0,    0,    0,    0,    0,    1,    1,    0,
2019172,    0,    0,    0,    0,    0,    1,    1,    0,
2019173,    0,    0,    0,    0,    0,    1,    1,    0,
2019174,    0,    0,    0,    0,    0,    1,    1,    0,
2019175,    0,    0,    0,    0,    0,    1,    1,    0,
2019176,    0,    1,    0,    1,    0,    1,    1,    1,
2019177,    0,    1,    0,    1,    0,    0,    1,    1,
2019178,    0,    1,    0,    1,    0,    0,    1,    1,
2019179,    0,    1,    0,    1,    0,    0,    1,    1,
2019180,    0,    1,    0,    1,    0,    0,    1,    1,
2019181,    0,    1,    0,    1,    0,    0,    1,    1,
2019182,    0,    1,    0,    1,    0,    0,    1,    1,
2019183,    0,    1,    0,    1,    0,    0,    1,    1,
2019184,    0,    1,    0,    1,    0,    0,    1,    1,
2019185,    0,    1,    0,    1,    0,    0,    1,    1,
2019186,    0,    1,    0,    1,    0,    0,    1,    1,
2019187,    0,    1,    0,    1,    0,    0,    1,    1,
2019188,    0,    1,    0,    1,    0,    0,    1,    1,
2019189,    0,    1,    0,    1,    0,    0,    1,    1,
2019190,    0,    1,    0,    1,    0,    0,    1,    1,
2019191,    0,    1,    0,    1,    0,    0,    1,    1,
2019192,    0,    1,    0,    1,    0,    0,    1,    1,
2019193,    0,    1,    0,    1,    0,    0,    1,    1,
2019194,    0,    1,    0,    1,    0,    0,    1,    1,
2019195,    0,    1,    0,    1,    0,    0,    1,    1,
2019196,    0,    1,    0,    1,    0,    0,    1,    1,
2019197,    1,    1,    1,    1,    0,    0,    1,    1,
2019198,    1,    1,    1,    1,    0,    0,    1,    1,
2019199,    1,    1,    1,    1,    0,    0,    1,    1,
2019200,    1,    1,    1,    1,    0,    0,    1,    1,
2019201,    1,    1,    1,    1,    0,    0,    1,    1,
2019202,    1,    1,    1,    1,    0,    0,    1,    1,
2019203,    1,    1,    1,    1,    0,    0,    1,    1,
2019204,    1,    1,    1,    1,    0,    0,    1,    1,
2019205,    1,    1,    1,    1,    0,    0,    1,    1,
2019206,    1,    1,    1,    1,    0,    0,    1,    1,
2019207,    1,    1,    1,    1,    0,    0,    1,    1,
2019208,    1,    1,    1,    1,    0,    0,    1,    1,
2019209,    1,    1,    1,    1,    0,    0,    1,    1,
2019210,    1,    1,    1,    1,    0,    0,    1,    1,
2019211,    1,    1,    1,    1,    0,    0,    1,    1,
2019212,    1,    1,    1,    1,    0,    0,    1,    1,
2019213,    1,    1,    1,    1,    0,    0,    1,    1,
2019214,    1,    1,    1,    1,    0,    0,    1,    1,
2019215,    1,    1,    1,    1,    0,    0,    1,    1,
2019216,    1,    1,    1,    1,    0,    0,    1,    1,
2019217,    1,    1,    1,    1,    0,    0,    1,    1,
2019218,    1,    1,    1,    1,    0,    0,    1,    1,
2019219,    1,    1,    1,    1,    0,    0,    1,    1,
2019220,    1,    1,    1,    1,    0,    0,    1,    1,
2019221,    1,    1,    1,    1,    0,    0,    1,    1,
2019222,    1,    1,    1,    1,    0,    0,    1,    1,
2019223,    1,    1,    1,    1,    0,    0,    1,    1,
2019224,    1,    1,    1,    1,    0,    0,    1,    1,
2019225,    1,    1,    1,    1,    0,    0,    1,    1,
2019226,    1,    1,    1,    1,    0,    0,    1,    1,
2019227,    1,    1,    1,    1,    0,    0,    1,    1,
2019228,    1,    1,    1,    1,    0,    0,    1,    1,
2019229,    1,    1,    1,    1,    0,    0,    1,    1,
2019230,    1,    1,    1,    1,    0,    0,    1,    1,
2019231,    1,    1,    1,    1,    0,    0,    1,    1,
2019232,    1,    1,    1,    1,    0,    0,    1,    1,
2019233,    1,    1,    1,    1,    0,    0,    1,    1,
2019234,    1,    1,    1,    1,    0,    0,    1,    1,
2019235,    1,    1,    1,    1,    0,    0,    1,    1,
2019236,    1,    1,    1,    1,    0,    0,    1,    1,
2019237,    1,    1,    1,    1,    0,    0,    1,    1,
2019238,    1,    1,    1,    1,    0,    0,    1,    1,
2019239,    1,    1,    1,    1,    0,    0,    1,    1,
2019240,    1,    1,    1,    1,    0,    0,    1,    1,
2019241,    1,    1,    1,    1,    0,    0,    1,    1,
2019242,    1,    1,    1,    1,    0,    0,    1,    1,
2019243,    0,    0,    0,    0,    0,    0,    1,    0,
2019244,    0,    0,    0,    0,    0,    0,    1,    0,
2019245,    0,    0,    0,    0,    0,    0,    1,    0,
2019246,    0,    0,    0,    0,    0,    0,    1,    0,
2019247,    0,    0,    0,    0,    0,    0,    1,    0,
2019248,    0,    0,    0,    0,    0,    0,    1,    0,
2019249,    0,    0,    0,    0,    0,    0,    1,    0,
2019250,    0,    0,    0,    0,    0,    0,    1,    0,
2019251,    0,    0,    0,    0,    0,    0,    1,    0,
2019252,    0,    0,    0,    0,    0,    0,    1,    0,
2019253,    0,    0,    0,    0,    0,    0,    1,    0,
2019254,    0,    0,    0,    0,    0,    0,    0,    0,
2019255,    1,    1,    1,    1,    0,    0,    0,    1,
2019256,    1,    1,    1,    1,    0,    0,    1,    1,
2019257,    1,    1,    1,    1,    0,    0,    1,    1,
2019258,    1,    1,    1,    1,    0,    0,    1,    1,
2019259,    1,    1,    1,    1,    0,    0,    1,    1,
2019260,    1,    1,    1,    1,    0,    0,    1,    1,
2019261,    1,    1,    1,    1,    0,    0,    1,    1,
2019262,    1,    1,    1,    1,    0,    0,    1,    1,
2019263,    1,    1,    1,    1,    0,    0,    1,    1,
2019264,    1,    1,    1,    1,    0,    0,    1,    1,
2019265,    1,    1,    1,    1,    0,    0,    1,    1,
2019266,    1,    1,    1,    1,    0,    0,    1,    1,
2019267,    1,    1,    1,    1,    0,    0,    1,    1,
2019268,    1,    1,    1,    1,    0,    0,    1,    1,
2019269,    1,    1,    1,    1,    0,    0,    1,    1,
2019270,    1,    1,    1,    1,    0,    0,    1,    1,
2019271,    1,    1,    1,    1,    0,    0,    1,    1,
2019272,    1,    1,    1,    1,    0,    0,    1,    1,
2019273,    1,    1,    1,    1,    0,    0,    1,    1,
2019274,    1,    1,    1,    1,    0,    0,    1,    1,
2019275,    1,    1,    1,    1,    0,    0,    1,    1,
2019276,    1,    1,    1,    1,    0,    0,    1,    1,
2019277,    1,    1,    1,    1,    0,    0,    1,    1,
2019278,    1,    1,    1,    1,    0,    0,    1,    1,
2019279,    1,    1,    1,    1,    0,    0,    1,    1,
2019280,    1,    1,    1,    1,    0,    0,    1,    1,
2019281,    1,    1,    1,    1,    0,    0,    1,    1,
2019282,    1,    1,    1,    1,    0,    0,    1,    1,
2019283,    1,    1,    1,    1,    0,    0,    1,    1,
2019284,    1,    1,    1,    1,    0,    0,    1,    1,
2019285,    1,    1,    1,    1,    0,    0,    1,    1,
