,Description,Date,Age,Miles,eq25_800m,Minutes,Seconds
0, Leicester,1983-09-04,12,6.0,2.15903820542647,2.0,9.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,2.1964125215582078,2.0,11.0
29, St Andrews 1500m,1991-04-01,19,0.932,2.2345604241823143,2.0,14.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,2.2447878597692923,2.0,14.0
46, Track meet 800m,1998-06-24,26,0.497,2.2709967991902853,2.0,16.0
8, barrow,1985-06-01,13,4.0,2.2990015707820777,2.0,17.0
72, Mapco Mile,1999-07-21,28,1.0,2.3150093099792777,2.0,18.0
61, Presbyterian 5k,1999-05-22,27,3.108,2.3344113301530944,2.0,20.0
207, St Pete Run Festival,2021-11-13,50,6.215,2.345129703138105,2.0,20.0
140, Valkyeries,2010-07-17,38,4.972,2.346658394553055,2.0,20.0
41, Track meet 800m,1998-06-10,26,0.497,2.3510319286771675,2.0,21.0
123, Golden Mile,2009-07-25,38,1.0,2.3577041538108627,2.0,21.0
163, Golden Mile,2013-07-20,42,1.0,2.3624480253477054,2.0,21.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,2.3674495393262602,2.0,22.0
139, Flint Hills Mile,2010-07-01,38,1.0,2.371935768421391,2.0,22.0
141, Golden Mile,2010-07-24,39,1.0,2.371935768421391,2.0,22.0
117, Midnight Sun Run,2009-06-19,37,6.215,2.37541492670474,2.0,22.0
99, Flint Hills Mile,2007-06-28,35,1.0,2.3814235114950764,2.0,22.0
49, Mapco Mile,1998-07-22,27,1.0,2.3814235114950764,2.0,22.0
168, Flint Hills Mile,2014-05-26,42,1.0,2.386167383031919,2.0,23.0
206, Trot thru the terrace,2021-11-06,50,6.215,2.3898991640626956,2.0,23.0
4, Leicester,1984-09-01,13,5.0,2.3906989207347333,2.0,23.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,2.3956551261056047,2.0,23.0
48, Track meet mile,1998-07-08,26,1.0,2.3956551261056047,2.0,23.0
119, Flint Hills Mile,2009-07-02,37,1.0,2.3956551261056047,2.0,23.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,2.3956551261056047,2.0,23.0
17, Leicester,1987-09-06,16,5.0,2.399034691030182,2.0,23.0
198, Jim Loftus Mile,2019-06-06,47,1.0,2.4051428691792904,2.0,24.0
162, Flint Hills Mile,2013-06-27,41,1.0,2.4098867407161335,2.0,24.0
9, sileby,1985-09-01,14,9.0,2.41815793460302,2.0,25.0
177, Midnight Sun Run,2016-06-18,44,6.215,2.4208427620546926,2.0,25.0
172, AGU Run,2014-12-18,43,3.108,2.4226344338121493,2.0,25.0
22, thringstone,1988-08-07,17,4.5,2.4339443748040295,2.0,26.0
13, shepshed,1986-10-04,15,6.215,2.4359853738380095,2.0,26.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,2.4359853738380095,2.0,26.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,2.4409636646277733,2.0,26.0
64, Track meet mile,1999-06-09,27,1.0,2.443093841474033,2.0,26.0
169, Midnight Sun Run,2014-06-21,42,6.215,2.447836113494519,2.0,26.0
98, Midnight Sun Run,2007-06-23,35,6.215,2.447836113494519,2.0,26.0
63, Track meet 800m,1999-06-09,27,0.497,2.45107584053577,2.0,27.0
153, Golden Mile,2012-07-21,41,1.0,2.452581584547718,2.0,27.0
204, 50th birthday foot race,2021-07-18,50,1.0,2.452581584547718,2.0,27.0
136, Beet Beethoven,2010-04-10,38,3.108,2.457643601930822,2.0,27.0
152, Valkyries,2012-07-14,40,5.37,2.4580797220911332,2.0,27.0
135, Spring Fling,2010-04-03,38,6.215,2.4603452275763895,2.0,27.0
42, Track meet mile,1998-06-10,26,1.0,2.4668131991582465,2.0,28.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,2.4673880074528625,2.0,28.0
2, Humphries athletics class,1984-05-01,12,0.497,2.471084622907491,2.0,28.0
203, Clearwater running festival 5k,2021-04-24,49,3.108,2.4786491028020254,2.0,28.0
24, sileby,1988-09-11,17,9.0,2.483501540556447,2.0,29.0
161, Midnight Sun Run,2013-06-22,41,6.215,2.490630451143024,2.0,29.0
104, GCI 8k,2007-08-04,36,4.972,2.4967841460273212,2.0,29.0
175, Chena River Run,2016-05-07,44,3.108,2.4996546036732292,2.0,29.0
148, Golden Mile,2011-07-23,40,1.0,2.500020299916146,2.0,30.0
151, Flint Hills Mile,2012-06-28,40,1.0,2.500020299916146,2.0,30.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,2.5005060675234483,2.0,30.0
6, Humphries athletics class,1985-05-01,13,0.497,2.501097796465072,2.0,30.0
