,Description,Date,Age,Miles,eq25_1Mi,Minutes,Seconds
0, Leicester,1983-09-04,12,6.0,4.551215581321133,4.0,33.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,4.63,4.0,37.0
29, St Andrews 1500m,1991-04-01,19,0.932,4.710415125763492,4.0,42.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,4.73197438492038,4.0,43.0
8, barrow,1985-06-01,13,4.0,4.846255959772777,4.0,50.0
72, Mapco Mile,1999-07-21,28,1.0,4.88,4.0,52.0
61, Presbyterian 5k,1999-05-22,27,3.108,4.920899126426871,4.0,55.0
207, St Pete Run Festival,2021-11-13,50,6.215,4.94349327321556,4.0,56.0
140, Valkyeries,2010-07-17,38,4.972,4.946715728552045,4.0,56.0
123, Golden Mile,2009-07-25,38,1.0,4.97,4.0,58.0
163, Golden Mile,2013-07-20,42,1.0,4.98,4.0,58.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,4.990543105857127,4.0,59.0
139, Flint Hills Mile,2010-07-01,38,1.0,5.0,5.0,0.0
141, Golden Mile,2010-07-24,39,1.0,5.0,5.0,0.0
117, Midnight Sun Run,2009-06-19,37,6.215,5.007334006109416,5.0,0.0
99, Flint Hills Mile,2007-06-28,35,1.0,5.02,5.0,1.0
49, Mapco Mile,1998-07-22,27,1.0,5.02,5.0,1.0
168, Flint Hills Mile,2014-05-26,42,1.0,5.03,5.0,1.0
206, Trot thru the terrace,2021-11-06,50,6.215,5.037866530536913,5.0,2.0
4, Leicester,1984-09-01,13,5.0,5.0395524039123325,5.0,2.0
119, Flint Hills Mile,2009-07-02,37,1.0,5.05,5.0,2.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,5.05,5.0,2.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,5.05,5.0,2.0
48, Track meet mile,1998-07-08,26,1.0,5.05,5.0,2.0
17, Leicester,1987-09-06,16,5.0,5.05712406501384,5.0,3.0
198, Jim Loftus Mile,2019-06-06,47,1.0,5.07,5.0,4.0
162, Flint Hills Mile,2013-06-27,41,1.0,5.08,5.0,4.0
9, sileby,1985-09-01,14,9.0,5.097435535137597,5.0,5.0
177, Midnight Sun Run,2016-06-18,44,6.215,5.103095105450201,5.0,6.0
172, AGU Run,2014-12-18,43,3.108,5.106871918847323,5.0,6.0
22, thringstone,1988-08-07,17,4.5,5.1307130808687695,5.0,7.0
13, shepshed,1986-10-04,15,6.215,5.135015471897129,5.0,8.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,5.135015471897129,5.0,8.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,5.14550962366979,5.0,8.0
64, Track meet mile,1999-06-09,27,1.0,5.15,5.0,9.0
169, Midnight Sun Run,2014-06-21,42,6.215,5.1599966282468985,5.0,9.0
98, Midnight Sun Run,2007-06-23,35,6.215,5.1599966282468985,5.0,9.0
153, Golden Mile,2012-07-21,41,1.0,5.17,5.0,10.0
204, 50th birthday foot race,2021-07-18,50,1.0,5.17,5.0,10.0
136, Beet Beethoven,2010-04-10,38,3.108,5.180670645998296,5.0,10.0
152, Valkyries,2012-07-14,40,5.37,5.181589979831272,5.0,10.0
135, Spring Fling,2010-04-03,38,6.215,5.1863656266161,5.0,11.0
42, Track meet mile,1998-06-10,26,1.0,5.2,5.0,12.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,5.201211686046201,5.0,12.0
203, Clearwater running festival 5k,2021-04-24,49,3.108,5.224949882288879,5.0,13.0
24, sileby,1988-09-11,17,9.0,5.235178738017234,5.0,14.0
161, Midnight Sun Run,2013-06-22,41,6.215,5.250206359509956,5.0,15.0
104, GCI 8k,2007-08-04,36,4.972,5.263178242994795,5.0,15.0
175, Chena River Run,2016-05-07,44,3.108,5.269229118579463,5.0,16.0
148, Golden Mile,2011-07-23,40,1.0,5.27,5.0,16.0
151, Flint Hills Mile,2012-06-28,40,1.0,5.27,5.0,16.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,5.271023989801431,5.0,16.0
112, Run Lu Lu Run,2008-08-17,37,6.215,5.2765753578791585,5.0,16.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,5.283514567976316,5.0,17.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,5.284902409995747,5.0,17.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,5.286445212766739,5.0,17.0
189, Independence Day 5k  Fairbanks  AK,2017-07-04,45,3.108,5.2898927621817355,5.0,17.0
97, Chena River Run,2007-05-05,35,3.108,5.292844711267774,5.0,17.0
150, Midnight Sun Run,2012-06-23,40,6.215,5.312659250384382,5.0,18.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,5.313421807235094,5.0,18.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,5.313508354870047,5.0,18.0
70, Track meet mile,1999-07-07,27,1.0,5.32,5.0,19.0
87, LRRL Barrow ,2005-01-30,33,6.0,5.322485880974857,5.0,19.0
