,Description,Date,Age,Miles,eq25_400m,Minutes,Seconds
31, St Andrews or Glasgow,1991-05-01,19,0.249,0.9283327783195849,0.0,55.0
62, Track meet 400m,1999-06-09,27,0.249,0.9682610698602122,0.0,58.0
40, Track meet 400m,1998-06-10,26,0.249,0.9682610698602122,0.0,58.0
35, Durham Track with Andy,1994-05-01,22,0.249,0.9682610698602122,0.0,58.0
47, Track meet 400m,1998-07-08,26,0.249,0.978243142745369,0.0,58.0
0, Leicester,1983-09-04,12,6.0,1.0121554276440876,1.0,0.0
1, Humphries Sports Day,1984-05-01,12,0.249,1.0281535071711532,1.0,1.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,1.0296764779118166,1.0,1.0
29, St Andrews 1500m,1991-04-01,19,0.932,1.0475601849241252,1.0,2.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,1.05235479875459,1.0,3.0
46, Track meet 800m,1998-06-24,26,0.497,1.0646415291241962,1.0,3.0
8, barrow,1985-06-01,13,4.0,1.0777701442155474,1.0,4.0
72, Mapco Mile,1999-07-21,28,1.0,1.085274559872498,1.0,5.0
61, Presbyterian 5k,1999-05-22,27,3.108,1.0943702118053036,1.0,5.0
207, St Pete Run Festival,2021-11-13,50,6.215,1.0993949767052604,1.0,5.0
140, Valkyeries,2010-07-17,38,4.972,1.1001116260489103,1.0,6.0
41, Track meet 800m,1998-06-10,26,0.497,1.1021619354369432,1.0,6.0
123, Golden Mile,2009-07-25,38,1.0,1.1052898693783433,1.0,6.0
163, Golden Mile,2013-07-20,42,1.0,1.1075137926567704,1.0,6.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,1.1098584985110294,1.0,6.0
139, Flint Hills Mile,2010-07-01,38,1.0,1.1119616392136251,1.0,6.0
141, Golden Mile,2010-07-24,39,1.0,1.1119616392136251,1.0,6.0
117, Midnight Sun Run,2009-06-19,37,6.215,1.1135926659047108,1.0,6.0
99, Flint Hills Mile,2007-06-28,35,1.0,1.1164094857704794,1.0,6.0
49, Mapco Mile,1998-07-22,27,1.0,1.1164094857704794,1.0,6.0
168, Flint Hills Mile,2014-05-26,42,1.0,1.1186334090489067,1.0,7.0
206, Trot thru the terrace,2021-11-06,50,6.215,1.1203828650870566,1.0,7.0
4, Leicester,1984-09-01,13,5.0,1.1207577903914643,1.0,7.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,1.1230812556057612,1.0,7.0
119, Flint Hills Mile,2009-07-02,37,1.0,1.1230812556057612,1.0,7.0
48, Track meet mile,1998-07-08,26,1.0,1.1230812556057612,1.0,7.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,1.1230812556057612,1.0,7.0
17, Leicester,1987-09-06,16,5.0,1.124665593007892,1.0,7.0
198, Jim Loftus Mile,2019-06-06,47,1.0,1.1275291021626157,1.0,7.0
162, Flint Hills Mile,2013-06-27,41,1.0,1.129753025441043,1.0,7.0
9, sileby,1985-09-01,14,9.0,1.1336305546874768,1.0,8.0
177, Midnight Sun Run,2016-06-18,44,6.215,1.1348891997038864,1.0,8.0
172, AGU Run,2014-12-18,43,3.108,1.1357291340270999,1.0,8.0
22, thringstone,1988-08-07,17,4.5,1.141031225547525,1.0,8.0
13, shepshed,1986-10-04,15,6.215,1.1419880443036114,1.0,8.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,1.1419880443036114,1.0,8.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,1.1443218631450685,1.0,8.0
64, Track meet mile,1999-06-09,27,1.0,1.1453204883900336,1.0,8.0
169, Midnight Sun Run,2014-06-21,42,6.215,1.1475436618164399,1.0,8.0
98, Midnight Sun Run,2007-06-23,35,6.215,1.1475436618164399,1.0,8.0
63, Track meet 800m,1999-06-09,27,0.497,1.1490624433278769,1.0,8.0
153, Golden Mile,2012-07-21,41,1.0,1.1497683349468881,1.0,8.0
204, 50th birthday foot race,2021-07-18,50,1.0,1.1497683349468881,1.0,8.0
136, Beet Beethoven,2010-04-10,38,3.108,1.152141404750035,1.0,9.0
152, Valkyries,2012-07-14,40,5.37,1.1523458575412149,1.0,9.0
135, Spring Fling,2010-04-03,38,6.215,1.1534079247466473,1.0,9.0
42, Track meet mile,1998-06-10,26,1.0,1.15644010478217,1.0,9.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,1.156709574462599,1.0,9.0
2, Humphries athletics class,1984-05-01,12,0.497,1.1584425449060638,1.0,9.0
203, Clearwater running festival 5k,2021-04-24,49,3.108,1.1619887671837956,1.0,9.0
24, sileby,1988-09-11,17,9.0,1.164263586220392,1.0,9.0
161, Midnight Sun Run,2013-06-22,41,6.215,1.1676056139460977,1.0,10.0
104, GCI 8k,2007-08-04,36,4.972,1.1704904613107958,1.0,10.0
175, Chena River Run,2016-05-07,44,3.108,1.1718361296175568,1.0,10.0
