,Description,Date,Age,Miles,eq25_200m,Minutes,Seconds
31, St Andrews or Glasgow,1991-05-01,19,0.249,0.4111125559031867,0.0,24.0
62, Track meet 400m,1999-06-09,27,0.249,0.4287948163721409,0.0,25.0
40, Track meet 400m,1998-06-10,26,0.249,0.4287948163721409,0.0,25.0
35, Durham Track with Andy,1994-05-01,22,0.249,0.4287948163721409,0.0,25.0
47, Track meet 400m,1998-07-08,26,0.249,0.4332153814893795,0.0,25.0
0, Leicester,1983-09-04,12,6.0,0.4482334509218364,0.0,26.0
39, Track meet 200m,1998-06-10,26,0.124,0.4513662614963123,0.0,27.0
45, Track meet 200m,1998-06-24,26,0.124,0.4513662614963123,0.0,27.0
69, Track meet 200m,1999-07-07,27,0.124,0.4513662614963123,0.0,27.0
1, Humphries Sports Day,1984-05-01,12,0.249,0.4553182070755723,0.0,27.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,0.4559926552997245,0.0,27.0
29, St Andrews 1500m,1991-04-01,19,0.932,0.46391246236736083,0.0,27.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,0.4660357590907397,0.0,27.0
46, Track meet 800m,1998-06-24,26,0.497,0.4714769427308192,0.0,28.0
8, barrow,1985-06-01,13,4.0,0.47729095536909366,0.0,28.0
72, Mapco Mile,1999-07-21,28,1.0,0.4806142889552172,0.0,28.0
61, Presbyterian 5k,1999-05-22,27,3.108,0.4846423021860656,0.0,29.0
207, St Pete Run Festival,2021-11-13,50,6.215,0.4868675214060237,0.0,29.0
140, Valkyeries,2010-07-17,38,4.972,0.4871848898650881,0.0,29.0
41, Track meet 800m,1998-06-10,26,0.497,0.48809287022794057,0.0,29.0
123, Golden Mile,2009-07-25,38,1.0,0.48947807707119456,0.0,29.0
163, Golden Mile,2013-07-20,42,1.0,0.4904629424174143,0.0,29.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,0.49150129637743534,0.0,29.0
139, Flint Hills Mile,2010-07-01,38,1.0,0.4924326731098537,0.0,29.0
141, Golden Mile,2010-07-24,39,1.0,0.4924326731098537,0.0,29.0
